fecha;festius;festius_sun;festius_sun_sat
18/9/20;No;No;No
19/9/20;No;No;No
20/9/20;No;Yes;Yes
21/9/20;No;No;No
22/9/20;No;No;No
23/9/20;No;No;No
24/9/20;Yes;Yes;Yes
25/9/20;No;No;No
26/9/20;No;No;No
27/9/20;No;Yes;Yes
28/9/20;No;No;No
29/9/20;No;No;No
30/9/20;No;No;No
1/10/20;No;No;Yes
2/10/20;No;No;No
3/10/20;No;No;No
4/10/20;No;Yes;Yes
5/10/20;No;No;No
6/10/20;No;No;No
7/10/20;No;No;No
8/10/20;No;No;Yes
9/10/20;No;No;No
10/10/20;No;No;No
11/10/20;No;Yes;Yes
12/10/20;Yes;Yes;Yes
13/10/20;No;No;No
14/10/20;No;No;No
15/10/20;No;No;Yes
16/10/20;No;No;No
17/10/20;No;No;No
18/10/20;No;Yes;Yes
19/10/20;No;No;No
20/10/20;No;No;No
21/10/20;No;No;No
22/10/20;No;No;Yes
23/10/20;No;No;No
24/10/20;No;No;No
25/10/20;No;Yes;Yes
26/10/20;No;No;No
27/10/20;No;No;No
28/10/20;No;No;No
29/10/20;No;No;Yes
30/10/20;No;No;No
31/10/20;No;No;No
1/11/20;No;Yes;Yes
2/11/20;No;No;No
3/11/20;No;No;No
4/11/20;No;No;No
5/11/20;No;No;Yes
6/11/20;No;No;No
7/11/20;No;No;No
8/11/20;No;Yes;Yes
9/11/20;No;No;No
10/11/20;No;No;No
11/11/20;No;No;No
12/11/20;No;No;Yes
13/11/20;No;No;No
14/11/20;No;No;No
15/11/20;No;Yes;Yes
16/11/20;No;No;No
17/11/20;No;No;No
18/11/20;No;No;No
19/11/20;No;No;Yes
20/11/20;No;No;No
21/11/20;No;No;No
22/11/20;No;Yes;Yes
23/11/20;No;No;No
24/11/20;No;No;No
25/11/20;No;No;No
26/11/20;No;No;Yes
27/11/20;No;No;No
28/11/20;No;No;No
29/11/20;No;Yes;Yes
30/11/20;No;No;No
1/12/20;No;No;No
2/12/20;No;No;No
3/12/20;No;No;Yes
4/12/20;No;No;No
5/12/20;No;No;No
6/12/20;No;Yes;Yes
7/12/20;No;No;No
8/12/20;Yes;Yes;Yes
9/12/20;No;No;No
10/12/20;No;No;Yes
11/12/20;No;No;No
12/12/20;No;No;No
13/12/20;No;Yes;Yes
14/12/20;No;No;No
15/12/20;No;No;No
16/12/20;No;No;No
17/12/20;No;No;Yes
18/12/20;No;No;No
19/12/20;No;No;No
20/12/20;No;Yes;Yes
21/12/20;No;No;No
22/12/20;No;No;No
23/12/20;No;No;No
24/12/20;No;No;Yes
25/12/20;Yes;Yes;Yes
26/12/20;Yes;Yes;Yes
27/12/20;No;Yes;Yes
28/12/20;No;No;No
29/12/20;No;No;No
30/12/20;No;No;No
31/12/20;No;No;Yes
1/1/21;Yes;Yes;Yes
2/1/21;No;No;No
3/1/21;No;Yes;Yes
4/1/21;No;No;No
5/1/21;No;No;No
6/1/21;Yes;Yes;Yes
7/1/21;No;No;Yes
8/1/21;No;No;No
9/1/21;No;No;No
10/1/21;No;Yes;Yes
11/1/21;No;No;No
12/1/21;No;No;No
13/1/21;No;No;No
14/1/21;No;No;Yes
15/1/21;No;No;No
16/1/21;No;No;No
17/1/21;No;Yes;Yes
18/1/21;No;No;No
19/1/21;No;No;No
20/1/21;No;No;No
21/1/21;No;No;Yes
22/1/21;No;No;No
23/1/21;No;No;No
24/1/21;No;Yes;Yes
25/1/21;No;No;No
26/1/21;No;No;No
27/1/21;No;No;No
28/1/21;No;No;Yes
29/1/21;No;No;No
30/1/21;No;No;No
31/1/21;No;Yes;Yes
1/2/21;No;No;No
2/2/21;No;No;No
3/2/21;No;No;No
4/2/21;No;No;Yes
5/2/21;No;No;No
6/2/21;No;No;No
7/2/21;No;Yes;Yes
8/2/21;No;No;No
9/2/21;No;No;No
10/2/21;No;No;No
11/2/21;No;No;Yes
12/2/21;No;No;No
13/2/21;No;No;No
14/2/21;No;Yes;Yes
15/2/21;No;No;No
16/2/21;No;No;No
17/2/21;No;No;No
18/2/21;No;No;Yes
19/2/21;No;No;No
20/2/21;No;No;No
21/2/21;No;Yes;Yes
22/2/21;No;No;No
23/2/21;No;No;No
24/2/21;No;No;No
25/2/21;No;No;Yes
26/2/21;No;No;No
27/2/21;No;No;No
28/2/21;No;Yes;Yes
1/3/21;No;No;No
2/3/21;No;No;No
3/3/21;No;No;No
4/3/21;No;No;Yes
5/3/21;No;No;No
6/3/21;No;No;No
7/3/21;No;Yes;Yes
8/3/21;No;No;No
9/3/21;No;No;No
10/3/21;No;No;No
11/3/21;No;No;Yes
12/3/21;No;No;No
13/3/21;No;No;No
14/3/21;No;Yes;Yes
15/3/21;No;No;No
16/3/21;No;No;No
17/3/21;No;No;No
18/3/21;No;No;Yes
19/3/21;No;No;No
20/3/21;No;No;No
21/3/21;No;Yes;Yes
22/3/21;No;No;No
23/3/21;No;No;No
24/3/21;No;No;No
25/3/21;No;No;Yes
26/3/21;No;No;No
27/3/21;No;No;No
28/3/21;No;Yes;Yes
29/3/21;No;No;No
30/3/21;No;No;No
31/3/21;No;No;No
1/4/21;No;No;Yes
2/4/21;Yes;Yes;Yes
3/4/21;No;No;No
4/4/21;No;Yes;Yes
5/4/21;Yes;Yes;Yes
6/4/21;No;No;No
7/4/21;No;No;No
8/4/21;No;No;Yes
9/4/21;No;No;No
10/4/21;No;No;No
11/4/21;No;Yes;Yes
12/4/21;No;No;No
13/4/21;No;No;No
14/4/21;No;No;No
15/4/21;No;No;Yes
16/4/21;No;No;No
17/4/21;No;No;No
18/4/21;No;Yes;Yes
19/4/21;No;No;No
20/4/21;No;No;No
21/4/21;No;No;No
22/4/21;No;No;Yes
23/4/21;No;No;No
24/4/21;No;No;No
25/4/21;No;Yes;Yes
26/4/21;No;No;No
27/4/21;No;No;No
28/4/21;No;No;No
29/4/21;No;No;Yes
30/4/21;No;No;No
1/5/21;Yes;Yes;Yes
2/5/21;No;Yes;Yes
3/5/21;No;No;No
4/5/21;No;No;No
5/5/21;No;No;No
6/5/21;No;No;Yes
7/5/21;No;No;No
8/5/21;No;No;No
9/5/21;No;Yes;Yes
10/5/21;No;No;No
11/5/21;No;No;No
12/5/21;No;No;No
13/5/21;No;No;Yes
14/5/21;No;No;No
15/5/21;No;No;No
16/5/21;No;Yes;Yes
17/5/21;No;No;No
18/5/21;No;No;No
19/5/21;No;No;No
20/5/21;No;No;Yes
21/5/21;No;No;No
22/5/21;No;No;No
23/5/21;No;Yes;Yes
24/5/21;Yes;Yes;Yes
25/5/21;No;No;No
26/5/21;No;No;No
27/5/21;No;No;Yes
28/5/21;No;No;No
29/5/21;No;No;No
30/5/21;No;Yes;Yes
31/5/21;No;No;No
1/6/21;No;No;No
2/6/21;No;No;No
3/6/21;No;No;Yes
4/6/21;No;No;No
5/6/21;No;No;No
6/6/21;No;Yes;Yes
7/6/21;No;No;No
8/6/21;No;No;No
9/6/21;No;No;No
10/6/21;No;No;Yes
11/6/21;No;No;No
12/6/21;No;No;No
13/6/21;No;Yes;Yes
14/6/21;No;No;No
15/6/21;No;No;No
16/6/21;No;No;No
17/6/21;No;No;Yes
18/6/21;No;No;No
19/6/21;No;No;No
20/6/21;No;Yes;Yes
21/6/21;No;No;No
22/6/21;No;No;No
23/6/21;No;No;No
24/6/21;Yes;Yes;Yes
25/6/21;No;No;No
26/6/21;No;No;No
27/6/21;No;Yes;Yes
28/6/21;No;No;No
29/6/21;No;No;No
30/6/21;No;No;No
1/7/21;No;No;Yes
2/7/21;No;No;No
3/7/21;No;No;No
4/7/21;No;Yes;Yes
5/7/21;No;No;No
6/7/21;No;No;No
7/7/21;No;No;No
8/7/21;No;No;Yes
9/7/21;No;No;No
10/7/21;No;No;No
11/7/21;No;Yes;Yes
12/7/21;No;No;No
13/7/21;No;No;No
14/7/21;No;No;No
15/7/21;No;No;Yes
16/7/21;No;No;No
17/7/21;No;No;No
18/7/21;No;Yes;Yes
19/7/21;No;No;No
20/7/21;No;No;No
21/7/21;No;No;No
22/7/21;No;No;Yes
23/7/21;No;No;No
24/7/21;No;No;No
25/7/21;No;Yes;Yes
26/7/21;No;No;No
27/7/21;No;No;No
28/7/21;No;No;No
29/7/21;No;No;Yes
30/7/21;No;No;No
31/7/21;No;No;No
1/8/21;No;Yes;Yes
2/8/21;No;No;No
3/8/21;No;No;No
4/8/21;No;No;No
5/8/21;No;No;Yes
6/8/21;No;No;No
7/8/21;No;No;No
8/8/21;No;Yes;Yes
9/8/21;No;No;No
10/8/21;No;No;No
11/8/21;No;No;No
12/8/21;No;No;Yes
13/8/21;No;No;No
14/8/21;No;No;No
15/8/21;No;Yes;Yes
16/8/21;No;No;No
17/8/21;No;No;No
18/8/21;No;No;No
19/8/21;No;No;Yes
20/8/21;No;No;No
21/8/21;No;No;No
22/8/21;No;Yes;Yes
23/8/21;No;No;No
24/8/21;No;No;No
25/8/21;No;No;No
26/8/21;No;No;Yes
27/8/21;No;No;No
28/8/21;No;No;No
29/8/21;No;Yes;Yes
30/8/21;No;No;No
31/8/21;No;No;No
1/9/21;No;No;No
2/9/21;No;No;Yes
3/9/21;No;No;No
4/9/21;No;No;No
5/9/21;No;Yes;Yes
6/9/21;No;No;No
7/9/21;No;No;No
8/9/21;No;No;No
9/9/21;No;No;Yes
10/9/21;No;No;No
11/9/21;Yes;Yes;Yes
12/9/21;No;Yes;Yes
13/9/21;No;No;No
14/9/21;No;No;No
15/9/21;No;No;No
16/9/21;No;No;Yes
17/9/21;No;No;No
18/9/21;No;No;No
19/9/21;No;Yes;Yes
20/9/21;No;No;No
21/9/21;No;No;No
22/9/21;No;No;No
23/9/21;No;No;Yes
24/9/21;Yes;Yes;Yes
25/9/21;No;No;No
26/9/21;No;Yes;Yes
27/9/21;No;No;No
28/9/21;No;No;No
29/9/21;No;No;No
30/9/21;No;No;Yes
1/10/21;No;No;No
2/10/21;No;No;No
3/10/21;No;Yes;Yes
4/10/21;No;No;No
5/10/21;No;No;No
6/10/21;No;No;No
7/10/21;No;No;Yes
8/10/21;No;No;No
9/10/21;No;No;No
10/10/21;No;Yes;Yes
11/10/21;No;No;No
12/10/21;Yes;Yes;Yes
13/10/21;No;No;No
14/10/21;No;No;Yes
15/10/21;No;No;No
16/10/21;No;No;No
17/10/21;No;Yes;Yes
18/10/21;No;No;No
19/10/21;No;No;No
20/10/21;No;No;No
21/10/21;No;No;Yes
22/10/21;No;No;No
23/10/21;No;No;No
24/10/21;No;Yes;Yes
25/10/21;No;No;No
26/10/21;No;No;No
27/10/21;No;No;No
28/10/21;No;No;Yes
29/10/21;No;No;No
30/10/21;No;No;No
31/10/21;No;Yes;Yes
1/11/21;Yes;Yes;Yes
2/11/21;No;No;No
3/11/21;No;No;No
4/11/21;No;No;Yes
5/11/21;No;No;No
6/11/21;No;No;No
7/11/21;No;Yes;Yes
8/11/21;No;No;No
9/11/21;No;No;No
10/11/21;No;No;No
11/11/21;No;No;Yes
12/11/21;No;No;No
13/11/21;No;No;No
14/11/21;No;Yes;Yes
15/11/21;No;No;No
16/11/21;No;No;No
17/11/21;No;No;No
18/11/21;No;No;Yes
19/11/21;No;No;No
20/11/21;No;No;No
